long_name,enterpriseToEbitda
"Alabama Aircraft Industries, Inc",-0.488
"American Defense Systems, Inc.",1.476
"Applied Energetics, Inc.",-27.557
AAR Corp.,27.468
Air Industries Group,52.543
"Aerojet Rocketdyne Holdings, Inc.",13.999
"Applied Blockchain, Inc.",-10.092
Astrotech Corporation,-3.432
Astronics Corporation,219.446
Astronics Corporation,221.089
"AeroVironment, Inc.",33.885
"Axon Enterprise, Inc.",-366.162
The Boeing Company,-31.289
"Bantec, Inc.",-10.345
Ballistic Recovery Systems Inc.,-4.513
Butler National Corporation,10.232
"BWX Technologies, Inc.",16.386
"Coda Octopus Group, Inc.",15.693
"CPI Aerostructures, Inc.",65.303
Ducommun Incorporated,13.058
The Dewey Electronics Corporation,-60.521
"Drone Services USA, Inc.",-0.659
Environmental Tectonics Corporation,-5.465
HEICO Corporation,40.192
HEICO Corporation,45.892
"Huntington Ingalls Industries, Inc.",9.112
"Hawkeye Systems, Inc.",-1.276
Hexcel Corporation,46.623
"Innovative Solutions and Support, Inc.",26.665
"Intevac, Inc.",7665.546
Kaman Corporation,13.967
"Kratos Defense & Security Solutions, Inc.",61.106
"L3Harris Technologies, Inc.",14.425
Lockheed Martin Corporation,11.332
"Laser Energetics, Inc.",-0.18
"Mundus Group, Inc.",-7.695
Moog Inc.,12.963
Moog Inc.,12.972
"Mercury Systems, Inc.",23.99
Northrop Grumman Corporation,12.851
"National Presto Industries, Inc.",9.869
OPT-Sciences Corporation,2.024
"Optex Systems Holdings, Inc",4.74
Park Aerospace Corp.,23.901
"AMMO, Inc.",-175.073
"PASSUR Aerospace, Inc.",10.278
"Sturm, Ruger & Company, Inc.",7.572
Raytheon Technologies Corporation,22.404
Suspect Detection Systems Inc.,-0.36
"SIFCO Industries, Inc.",13.027
"Virgin Galactic Holdings, Inc.",-44.971
"Spirit AeroSystems Holdings, Inc.",-19.655
"Stinger Systems, Inc.",-0.299
"Smith & Wesson Brands, Inc.",3.746
TransDigm Group Incorporated,31.604
"Triumph Group, Inc.",13.058
Tel-Instrument Electronics Corp.,13.046
Textron Inc.,15.993
"AgEagle Aerial Systems, Inc.",-47.226
Utilicraft Aerospace Industries Inc.,-5.24
UAV Corp.,-25.159
"Vectrus, Inc.",12.108
VSE Corporation,11.595
"VirTra, Inc.",25.663
"Woodward, Inc.",23.078
