long_name,enterpriseToRevenue
"Alabama Aircraft Industries, Inc",-0.014
"American Defense Systems, Inc.",0.12
"Applied Energetics, Inc.",845.174
AAR Corp.,0.837
Air Industries Group,1.352
"Aerojet Rocketdyne Holdings, Inc.",1.822
"Applied Blockchain, Inc.",7.593
Astrotech Corporation,49.379
Astronics Corporation,1.558
Astronics Corporation,1.57
"AeroVironment, Inc.",5.967
"Axon Enterprise, Inc.",14.783
The Boeing Company,2.997
"Bantec, Inc.",4.881
Ballistic Recovery Systems Inc.,0.322
Butler National Corporation,1.369
"BWX Technologies, Inc.",3.16
"Coda Octopus Group, Inc.",3.891
"CPI Aerostructures, Inc.",0.806
Ducommun Incorporated,1.563
The Dewey Electronics Corporation,0.831
"Drone Services USA, Inc.",0.354
Environmental Tectonics Corporation,1.14
HEICO Corporation,10.327
HEICO Corporation,11.512
"Huntington Ingalls Industries, Inc.",1.053
"Hawkeye Systems, Inc.",0.459
Hexcel Corporation,4.883
"Innovative Solutions and Support, Inc.",4.506
"Intevac, Inc.",1.288
Kaman Corporation,2.048
"Kratos Defense & Security Solutions, Inc.",4.443
"L3Harris Technologies, Inc.",2.887
Lockheed Martin Corporation,1.753
Madison Technologies Inc.,29861.48
"Mundus Group, Inc.",288.801
Moog Inc.,1.33
Moog Inc.,1.331
"Mercury Systems, Inc.",4.305
Northrop Grumman Corporation,1.881
"National Presto Industries, Inc.",1.634
OPT-Sciences Corporation,0.554
"Optex Systems Holdings, Inc",0.482
Park Aerospace Corp.,4.25
"AMMO, Inc.",14.491
"PASSUR Aerospace, Inc.",1.941
"Sturm, Ruger & Company, Inc.",2.153
Raytheon Technologies Corporation,2.596
Suspect Detection Systems Inc.,2.071
"SIFCO Industries, Inc.",0.916
"Spirit AeroSystems Holdings, Inc.",2.307
"Stinger Systems, Inc.",3.432
"Smith & Wesson Brands, Inc.",1.239
TransDigm Group Incorporated,11.978
"Triumph Group, Inc.",1.482
Tel-Instrument Electronics Corp.,0.984
Textron Inc.,1.489
"AgEagle Aerial Systems, Inc.",131.656
UAV Corp.,21.997
"Vectrus, Inc.",0.507
VSE Corporation,1.282
"VirTra, Inc.",3.815
"Woodward, Inc.",3.904
