long_name,forwardPE
AAR Corp.,16.205357
Air Industries Group,12.599999
"Aerojet Rocketdyne Holdings, Inc.",23.546799
Astronics Corporation,32.206898
"AeroVironment, Inc.",31.343042
"Axon Enterprise, Inc.",95.53439
The Boeing Company,39.77106
"BWX Technologies, Inc.",16.930029
"Coda Octopus Group, Inc.",12.432432
"CPI Aerostructures, Inc.",8.789474
Ducommun Incorporated,15.521614
HEICO Corporation,50.607407
"Huntington Ingalls Industries, Inc.",13.944329
Hexcel Corporation,40.105637
"Innovative Solutions and Support, Inc.",22.793104
"Intevac, Inc.",19.935484
Kaman Corporation,21.824392
"Kratos Defense & Security Solutions, Inc.",48.740738
"L3Harris Technologies, Inc.",15.552413
Lockheed Martin Corporation,13.624239
Moog Inc.,14.196779
"Mercury Systems, Inc.",25.40613
Northrop Grumman Corporation,14.072322
"AMMO, Inc.",18.095238
"Sturm, Ruger & Company, Inc.",12.219937
Raytheon Technologies Corporation,17.131315
"Virgin Galactic Holdings, Inc.",-44.486107
"Spirit AeroSystems Holdings, Inc.",698.00006
"Smith & Wesson Brands, Inc.",13.798883
TransDigm Group Incorporated,37.080956
"Triumph Group, Inc.",15.495652
Textron Inc.,17.65
"Vectrus, Inc.",9.774834
VSE Corporation,13.535433
"VirTra, Inc.",28.96
"Woodward, Inc.",25.929977
