long_name,priceToBook
"Applied Energetics, Inc.",48.124996
AAR Corp.,1.3600599
Air Industries Group,2.6582277
"Aerojet Rocketdyne Holdings, Inc.",13.735632
Astrotech Corporation,0.9470026
Astronics Corporation,2.2193182
Astronics Corporation,2.0850658
"AeroVironment, Inc.",3.8919027
"Axon Enterprise, Inc.",11.551404
Ballistic Recovery Systems Inc.,0.09529915
Butler National Corporation,1.330786
"BWX Technologies, Inc.",8.418383
"Coda Octopus Group, Inc.",2.534435
Ducommun Incorporated,1.9019033
The Dewey Electronics Corporation,1.3440859
"Drone Services USA, Inc.",7.098239e-06
Environmental Tectonics Corporation,2.1854308
HEICO Corporation,8.148393
HEICO Corporation,8.691559
"Huntington Ingalls Industries, Inc.",4.1315904
"Hawkeye Systems, Inc.",1.6176469
Hexcel Corporation,3.2097166
"Innovative Solutions and Support, Inc.",5.625532
"Intevac, Inc.",1.5342602
Kaman Corporation,1.6214846
"Kratos Defense & Security Solutions, Inc.",3.505594
"L3Harris Technologies, Inc.",2.1807156
Lockheed Martin Corporation,16.735521
"Mundus Group, Inc.",1.3999999
Moog Inc.,1.905631
Moog Inc.,1.9190779
"Mercury Systems, Inc.",2.5157447
Northrop Grumman Corporation,5.5050545
"National Presto Industries, Inc.",2.0202732
OPT-Sciences Corporation,1.0229815
"Optex Systems Holdings, Inc",0.85086256
Park Aerospace Corp.,2.202787
"AMMO, Inc.",11.275964
"Sturm, Ruger & Company, Inc.",4.707424
"SIFCO Industries, Inc.",1.3294
"Spirit AeroSystems Holdings, Inc.",6.3763704
Tel-Instrument Electronics Corp.,16.74641
Textron Inc.,2.5268433
"AgEagle Aerial Systems, Inc.",6.672078
"Vectrus, Inc.",1.6475052
VSE Corporation,1.5797696
"VirTra, Inc.",4.570707
"Woodward, Inc.",3.5149643
