long_name,beta
Abeona Therapeutics Inc.,1.41413
"ARCA biopharma, Inc.",2.738043
Arbutus Biopharma Corporation,2.932708
"ABVC BioPharma, Inc.",0.229347
ACADIA Pharmaceuticals Inc.,0.736956
"Acro Biomedical Co., Ltd.",0.833641
Acer Therapeutics Inc.,1.181443
"Acorda Therapeutics, Inc.",0.65326
"Aclaris Therapeutics, Inc.",0.654347
"Adial Pharmaceuticals, Inc.",0.606019
"ADMA Biologics, Inc.",1.329891
Adaptive Biotechnologies Corporation,0.2625
"Adverum Biotechnologies, Inc.",1.222826
"Advaxis, Inc.",2.564258
"Adynxx, Inc.",2.498779
Aeterna Zentaris Inc.,2.212261
"Affymax, Inc.",2.821739
"AgeX Therapeutics, Inc.",1.397649
Agenus Inc.,1.370656
"Agios Pharmaceuticals, Inc.",1.658152
"Aeglea BioTherapeutics, Inc.",1.683667
Applied Genetic Technologies Corporation,2.187704
AtheroNova Inc.,-9.281521
AIkido Pharma Inc.,1.569565
AIM ImmunoTech Inc.,-0.793478
"Achaogen, Inc.",-0.808152
"Akebia Therapeutics, Inc.",1.754891
"Akero Therapeutics, Inc.",0.525694
"Albireo Pharma, Inc.",1.525287
"Aldeyra Therapeutics, Inc.",1.75163
"Alector, Inc.",1.032908
Allakos Inc.,0.908002
"Allogene Therapeutics, Inc.",1.087234
"Allena Pharmaceuticals, Inc.",2.166995
"Alnylam Pharmaceuticals, Inc.",1.239673
"Alpine Immune Sciences, Inc.",1.677959
"Aileron Therapeutics, Inc.",2.735824
"Alseres Pharmaceuticals, Inc.",-0.02826
"Altimmune, Inc.",1.315388
"Alexion Pharmaceuticals, Inc.",1.280978
"Amarillo Biosciences, Inc.",-0.11583
"Amarantus BioScience Holdings, Inc.",0.881521
"Ampio Pharmaceuticals, Inc.",1.830434
"AnaptysBio, Inc.",0.063706
"Anika Therapeutics, Inc.",1.216304
"Anthera Pharmaceuticals, Inc.",2.015217
"Apellis Pharmaceuticals, Inc.",1.483221
"Applied Therapeutics, Inc.",1.160446
Aptinyx Inc.,1.404697
Aptevo Therapeutics Inc.,7.144716
"Aravive, Inc.",3.053804
Arcturus Therapeutics Holdings Inc.,2.808868
"Aridis Pharmaceuticals, Inc.",0.106552
"Ardelyx, Inc.",1.947049
"Arena Pharmaceuticals, Inc.",0.527717
"Arno Therapeutics, Inc.",1.787093
"Aerpio Pharmaceuticals, Inc.",1.635596
"Arch Therapeutics, Inc.",-0.282065
"Artelo Biosciences, Inc.",1.391235
"Arvinas, Inc.",2.01195
"Arrowhead Pharmaceuticals, Inc.",1.271195
"Assembly Biosciences, Inc.",0.334239
Avidus Management Group Inc.,1.934239
"Athersys, Inc.",-1.67826
Artemis Therapeutics Inc.,-0.206017
"Actinium Pharmaceuticals, Inc.",1.051686
"Atossa Therapeutics, Inc.",2.213043
"Atara Biotherapeutics, Inc.",2.398913
"Adhera Therapeutics, Inc.",0.480721
"Avenue Therapeutics, Inc.",0.672087
"Nuo Therapeutics, Inc.",4.819609
"AVEO Pharmaceuticals, Inc.",1.217391
"AVROBIO, Inc.",1.359593
Anavex Life Sciences Corp.,0.565217
"AVAX Technologies, Inc.",-4.597826
"AXIM Biotechnologies, Inc.",0.003804
Axcella Health Inc.,1.384373
"Axsome Therapeutics, Inc.",2.537231
"Aytu Biopharma, Inc.",-0.291304
"AzurRx BioPharma, Inc.",1.522357
"BioCardia, Inc.",1.941571
"Atreca, Inc.",0.057986
Brainstorm Cell Therapeutics Inc.,0.017391
"BioCryst Pharmaceuticals, Inc.",2.639673
Biohaven Pharmaceutical Holding Company Ltd.,1.001794
"BioCube, Inc.",0.780434
Bioasis Technologies Inc.,0.460066
BioVie Inc.,1.953804
"Bellicum Pharmaceuticals, Inc.",1.742934
"Bellerophon Therapeutics, Inc.",-0.582608
"bluebird bio, Inc.",1.741304
"Biomimix, Inc.",0.905434
