long_name,pegRatio
ACADIA Pharmaceuticals Inc.,-0.66
"Adicet Bio, Inc.",-0.17
"Acorda Therapeutics, Inc.",-0.02
"Aclaris Therapeutics, Inc.",-0.26
Adaptive Biotechnologies Corporation,-6.1
"Agios Pharmaceuticals, Inc.",0.05
AIM ImmunoTech Inc.,-0.28
"Akouos, Inc.",-0.46
"Aldeyra Therapeutics, Inc.",-0.16
"Alector, Inc.",0.4
Allakos Inc.,2.4
"Allogene Therapeutics, Inc.",-18.55
"Alnylam Pharmaceuticals, Inc.",-0.49
"Aileron Therapeutics, Inc.",-2.44
"Alexion Pharmaceuticals, Inc.",1.46
Applied Molecular Transport Inc.,-0.65
"Anika Therapeutics, Inc.",100.52
"Annexon, Inc.",-0.29
"Apellis Pharmaceuticals, Inc.",-0.18
"Aravive, Inc.",-0.03
"Aridis Pharmaceuticals, Inc.",-0.04
"Ardelyx, Inc.",-0.16
"Arena Pharmaceuticals, Inc.",0.41
"Arcutis Biotherapeutics, Inc.",-0.74
"Arrowhead Pharmaceuticals, Inc.",-11.12
"Assembly Biosciences, Inc.",-0.11
"Athersys, Inc.",-0.02
"Axsome Therapeutics, Inc.",0.31
"BridgeBio Pharma, Inc.",0.19
"BioCryst Pharmaceuticals, Inc.",-0.57
"Bellerophon Therapeutics, Inc.",-0.01
"bluebird bio, Inc.",0.07
BioMarin Pharmaceutical Inc.,-4.85
Blueprint Medicines Corporation,0.16
"BioXcel Therapeutics, Inc.",-0.02
BeyondSpring Inc.,0.09
"Calithera Biosciences, Inc.",-0.04
"Catalyst Biosciences, Inc.",0.08
"Avid Bioservices, Inc.",5.98
"Cidara Therapeutics, Inc.",-0.04
"Codexis, Inc.",-2.52
"Certara, Inc.",2.72
ContraFect Corporation,-0.29
"Chiasma, Inc.",-0.06
"Coherus BioSciences, Inc.",-1.31
"Caladrius Biosciences, Inc.",-0.06
"Clovis Oncology, Inc.",-0.03
"Checkmate Pharmaceuticals, Inc.",-0.12
Corcept Therapeutics Incorporated,-0.74
"Cortexyme, Inc.",-0.7
"Champions Oncology, Inc.",14.67
"CytomX Therapeutics, Inc.",6.77
"Cytokinetics, Incorporated",-0.63
"Deciphera Pharmaceuticals, Inc.",-0.45
DiaMedica Therapeutics Inc.,-0.35
"Eledon Pharmaceuticals, Inc.",0.07
"Epizyme, Inc.",-0.09
"Esperion Therapeutics, Inc.",-0.16
"89bio, Inc.",-0.42
Entasis Therapeutics Holdings Inc.,-0.02
"Evofem Biosciences, Inc.",-0.02
"Exelixis, Inc.",0.96
"Fate Therapeutics, Inc.",4.28
"Fortress Biotech, Inc.",-0.32
"4D Molecular Therapeutics, Inc.",-0.43
"Homology Medicines, Inc.",0.58
"Amicus Therapeutics, Inc.",11.77
"Fulcrum Therapeutics, Inc.",-0.69
"Global Blood Therapeutics, Inc.",-0.24
Geron Corporation,-1.03
"Gossamer Bio, Inc.",-0.59
"Galera Therapeutics, Inc.",-0.12
"Halozyme Therapeutics, Inc.",0.71
"Humanigen, Inc.",0.43
HOOKIPA Pharma Inc.,-1.17
"Heron Therapeutics, Inc.",-0.15
Histogen Inc.,-0.05
"ImmunityBio, Inc.",26.59
"Intercept Pharmaceuticals, Inc.",0.5
"Immunic, Inc.",-0.25
Incyte Corporation,1.36
"Infinity Pharmaceuticals, Inc.",-0.06
"Inovio Pharmaceuticals, Inc.",-0.11
"Innoviva, Inc.",0.37
"Inozyme Pharma, Inc.",0.82
"Ionis Pharmaceuticals, Inc.",-0.24
"Iovance Biotherapeutics, Inc.",0.84
"Intra-Cellular Therapies, Inc.",-0.04
"Jaguar Health, Inc.",-0.29
"Kala Pharmaceuticals, Inc.",-0.11
"Chinook Therapeutics, Inc.",-0.55
Kodiak Sciences Inc.,-2.19
Karyopharm Therapeutics Inc.,0.12
"Karuna Therapeutics, Inc.",1.31
"Kura Oncology, Inc.",-0.7
"Kymera Therapeutics, Inc.",2.11
Ligand Pharmaceuticals Incorporated,1.31
"aTyr Pharma, Inc.",-0.21
La Jolla Pharmaceutical Company,1.05
"Leap Therapeutics, Inc.",1.91
"Lumos Pharma, Inc.",-0.2
"Lexicon Pharmaceuticals, Inc.",-0.3
"Lyra Therapeutics, Inc.",0.93
"Seres Therapeutics, Inc.",0.09
"MEI Pharma, Inc.",58.3
"MacroGenics, Inc.",0.05
MeiraGTx Holdings plc,-3.41
MannKind Corporation,-0.64
"MediciNova, Inc.",-0.78
"Moderna, Inc.",0.43
"Marinus Pharmaceuticals, Inc.",-0.25
"Mirati Therapeutics, Inc.",0.07
"Maravai LifeSciences Holdings, Inc.",-7.64
"Molecular Templates, Inc.",-1.7
"Neurocrine Biosciences, Inc.",1.46
"NeuBase Therapeutics, Inc.",-2.5
Nektar Therapeutics,0.99
"Intellia Therapeutics, Inc.",-1.05
"NextCure, Inc.",0.15
Omeros Corporation,-0.1
"Otonomy, Inc.",-0.16
"Puma Biotechnology, Inc.",-0.32
"Vaxcyte, Inc.",-1.0
PDS Biotechnology Corporation,-0.09
"Precigen, Inc.",-7.82
"PMV Pharmaceuticals, Inc.",-1.48
Prelude Therapeutics Incorporated,-0.58
"Paratek Pharmaceuticals, Inc.",0.09
"Poseida Therapeutics, Inc.",-1.64
"PTC Therapeutics, Inc.",0.72
"PolarityTE, Inc.",-0.12
Ultragenyx Pharmaceutical Inc.,-1.06
"Rocket Pharmaceuticals, Inc.",-1.58
"Regeneron Pharmaceuticals, Inc.",2.66
Regulus Therapeutics Inc.,-0.13
REGENXBIO Inc.,-3.72
"Rigel Pharmaceuticals, Inc.",-0.95
Royalty Pharma plc,2.12
"Revance Therapeutics, Inc.",-0.54
"Rhythm Pharmaceuticals, Inc.",-0.83
"Sage Therapeutics, Inc.",-0.26
"Cassava Sciences, Inc.",-6.24
Strongbridge Biopharma plc,-0.43
"Seer, Inc.",1.49
Seagen Inc.,-1.56
"Sangamo Therapeutics, Inc.",0.52
"SIGA Technologies, Inc.",8.67
"Soleno Therapeutics, Inc.",-0.26
"Soligenix, Inc.",-3.59
"Spero Therapeutics, Inc.",-0.13
SQZ Biotechnologies Company,-0.17
"Sorrento Therapeutics, Inc.",-0.4
"Sarepta Therapeutics, Inc.",-0.11
"Sierra Oncology, Inc.",-0.05
"Sutro Biopharma, Inc.",0.52
"Tarsus Pharmaceuticals, Inc.",1.08
Bio-Techne Corporation,3.86
United Therapeutics Corporation,-1.78
Veru Inc.,5.39
"Vir Biotechnology, Inc.",-3.12
"Viracta Therapeutics, Inc.",-0.03
"Viking Therapeutics, Inc.",-0.19
Vanda Pharmaceuticals Inc.,0.36
Verrica Pharmaceuticals Inc.,0.13
Vertex Pharmaceuticals Incorporated,1.66
"Verastem, Inc.",-3.89
VYNE Therapeutics Inc.,-0.03
XOMA Corporation,-1.61
"Y-mAbs Therapeutics, Inc.",0.26
"Zogenix, Inc.",-0.63
