long_name,priceToBook
Abeona Therapeutics Inc.,1.3221406
"ARCA biopharma, Inc.",0.6536948
"ABVC BioPharma, Inc.",46.728973
ACADIA Pharmaceuticals Inc.,6.681355
"Acro Biomedical Co., Ltd.",143.84615
Acer Therapeutics Inc.,3.1911967
"Adicet Bio, Inc.",1.1307039
"Acorda Therapeutics, Inc.",0.1721684
"Aclaris Therapeutics, Inc.",6.957329
"Adial Pharmaceuticals, Inc.",8.030769
"ADMA Biologics, Inc.",1.7286654
Adaptive Biotechnologies Corporation,7.32408
"Adverum Biotechnologies, Inc.",0.73418313
"Advaxis, Inc.",1.3626543
Aeterna Zentaris Inc.,1.3579246
"Affymax, Inc.",0.28985506
"Agios Pharmaceuticals, Inc.",1.7247775
"Aeglea BioTherapeutics, Inc.",2.3696845
Applied Genetic Technologies Corporation,1.7276334
AIM ImmunoTech Inc.,0.93837535
"Akebia Therapeutics, Inc.",1.979244
"Akero Therapeutics, Inc.",3.3239117
"Albireo Pharma, Inc.",4.4543924
"Aldeyra Therapeutics, Inc.",3.5034018
"Alector, Inc.",11.389569
Allakos Inc.,7.0808744
"Allogene Therapeutics, Inc.",3.0970643
"Allena Pharmaceuticals, Inc.",1.9975787
"Alnylam Pharmaceuticals, Inc.",23.20076
"Alpine Immune Sciences, Inc.",3.4316354
"Aileron Therapeutics, Inc.",1.5565344
"Altimmune, Inc.",1.4542078
"Alexion Pharmaceuticals, Inc.",3.2467532
"Ampio Pharmaceuticals, Inc.",17.44186
"AnaptysBio, Inc.",1.8694468
"Anika Therapeutics, Inc.",2.0936754
"Anthera Pharmaceuticals, Inc.",0.26794258
"Apellis Pharmaceuticals, Inc.",99.95326
"Applied Therapeutics, Inc.",3.8411233
Aptinyx Inc.,1.1616819
Aptevo Therapeutics Inc.,8.725117
"Aravive, Inc.",1.3837966
Arcturus Therapeutics Holdings Inc.,2.1294584
"Ardelyx, Inc.",1.4922049
Armata Pharmaceuticals Inc.,3.8354807
"Arena Pharmaceuticals, Inc.",3.5858216
"Aerpio Pharmaceuticals, Inc.",2.4393203
"Arch Therapeutics, Inc.",10.777779
"Artelo Biosciences, Inc.",1.761658
"Arvinas, Inc.",6.127497
"Arrowhead Pharmaceuticals, Inc.",15.855709
"Assembly Biosciences, Inc.",0.5774534
"Athersys, Inc.",8.089888
"Actinium Pharmaceuticals, Inc.",1.910204
"Atossa Therapeutics, Inc.",3.4231102
"Atara Biotherapeutics, Inc.",2.7728615
"Avenue Therapeutics, Inc.",22.727272
"AVEO Pharmaceuticals, Inc.",2.5379505
"AVROBIO, Inc.",1.4290837
Anavex Life Sciences Corp.,19.353647
"AXIM Biotechnologies, Inc.",67.269226
Axcella Health Inc.,2.163814
"Axsome Therapeutics, Inc.",18.180624
"Aytu Biopharma, Inc.",0.6997705
"AzurRx BioPharma, Inc.",3.7083333
"Brickell Biotech, Inc.",0.26575226
"BridgeBio Pharma, Inc.",15.597243
"BioCardia, Inc.",3.285068
"Atreca, Inc.",1.1265686
Brainstorm Cell Therapeutics Inc.,3.420261
Beam Therapeutics Inc.,21.625257
Bioasis Technologies Inc.,47.18
BioVie Inc.,18.984089
"Bellerophon Therapeutics, Inc.",1.1936872
"bluebird bio, Inc.",1.5351346
BioMarin Pharmaceutical Inc.,3.4892907
Benitec Biopharma Inc.,1.5954164
Blueprint Medicines Corporation,3.5786538
"Bio-Path Holdings, Inc.",1.3975157
"BioStem Technologies, Inc.",38.846153
"Biostage, Inc.",41.463413
"BioXcel Therapeutics, Inc.",3.6261706
BeyondSpring Inc.,5.3236246
"Calithera Biosciences, Inc.",1.632653
"Capricor Therapeutics, Inc.",3.1265664
"Cara Therapeutics, Inc.",2.5595834
"CASI Pharmaceuticals, Inc.",1.8156424
"CymaBay Therapeutics, Inc.",2.2960563
"Catalyst Biosciences, Inc.",1.357616
"Cleveland BioLabs, Inc.",7.416107
"ChemoCentryx, Inc.",3.1143742
"Avid Bioservices, Inc.",18.239487
"Cidara Therapeutics, Inc.",6.736402
ChromaDex Corporation,14.15765
"Codexis, Inc.",8.235526
Cerecor Inc.,8.362069
"Cerevel Therapeutics Holdings, Inc.",8.416324
ContraFect Corporation,8.568282
"Cullinan Oncology, Inc.",2.55103
"Chiasma, Inc.",2.7015111
"Coherus BioSciences, Inc.",7.5200458
"Checkpoint Therapeutics, Inc.",4.078947
"Caladrius Biosciences, Inc.",0.75553155
"Celldex Therapeutics, Inc.",8.219827
"Cellectar Biosciences, Inc.",1.4147017
"Clearside Biomedical, Inc.",18.61017
Celsion Corporation,1.5279673
"Chimerix, Inc.",4.767742
Cannabics Pharmaceuticals Inc.,6.239286
"Concert Pharmaceuticals, Inc.",0.99040633
"Constellation Pharmaceuticals, Inc.",4.3161907
"Cocrystal Pharma, Inc.",1.5247253
Corcept Therapeutics Incorporated,4.5683694
"Catalyst Pharmaceuticals, Inc.",3.259733
"Corbus Pharmaceuticals Holdings, Inc.",2.0491803
"Curis, Inc.",5.42042
CorMedix Inc.,3.0445075
"Crinetics Pharmaceuticals, Inc.",4.4378176
"Cortexyme, Inc.",10.916651
"Corvus Pharmaceuticals, Inc.",0.9334415
"Champions Oncology, Inc.",16.632652
CTI BioPharma Corp.,6.772334
"CytomX Therapeutics, Inc.",2.5690114
"Citius Pharmaceuticals, Inc.",2.088267
"Cue Biopharma, Inc.",4.188462
CEL-SCI Corporation,10.640669
"CohBar, Inc.",4.21875
"Cyclacel Pharmaceuticals, Inc.",1.0071112
"Cyclacel Pharmaceuticals, Inc.",2.0661159
"Cyclerion Therapeutics, Inc.",2.4312897
"Cytokinetics, Incorporated",30.78059
CytRx Corporation,3.8461537
"Daré Bioscience, Inc.",21.739132
"Deciphera Pharmaceuticals, Inc.",3.8885689
Diffusion Pharmaceuticals Inc.,1.0530418
DiaMedica Therapeutics Inc.,2.831412
Denali Therapeutics Inc.,7.0866146
"Dicerna Pharmaceuticals, Inc.",24.221685
"Precision BioSciences, Inc.",10.476654
"Dyadic International, Inc.",3.755365
"Editas Medicine, Inc.",4.594966
"Eiger BioPharmaceuticals, Inc.",2.9090908
"Eloxx Pharmaceuticals, Inc.",21.764706
"Enochian Biosciences, Inc.",1.3716431
"Enanta Pharmaceuticals, Inc.",1.9720396
"Enzon Pharmaceuticals, Inc.",6.6548386
