long_name,profitMargins
Abeona Therapeutics Inc.,0.0
"ARCA biopharma, Inc.",0.0
Arbutus Biopharma Corporation,0.0
"ABVC BioPharma, Inc.",0.0
ACADIA Pharmaceuticals Inc.,-0.56741
"Acro Biomedical Co., Ltd.",-2.5935998
Acer Therapeutics Inc.,0.0
"Adicet Bio, Inc.",0.0
"Acorda Therapeutics, Inc.",-0.82335
"Aclaris Therapeutics, Inc.",0.0
"Acurx Pharmaceuticals, Inc.",0.0
"Adial Pharmaceuticals, Inc.",0.0
"ADMA Biologics, Inc.",-1.55784
Adaptive Biotechnologies Corporation,-1.3412199
"ADiTx Therapeutics, Inc.",0.0
"Adverum Biotechnologies, Inc.",0.0
"Advaxis, Inc.",0.0
"Adynxx, Inc.",0.0
Aeterna Zentaris Inc.,-2.3322701
"Affymax, Inc.",73.0
"AgeX Therapeutics, Inc.",0.0
Agenus Inc.,-2.0518801
"Agios Pharmaceuticals, Inc.",7.8112297
"Aeglea BioTherapeutics, Inc.",0.0
Applied Genetic Technologies Corporation,0.0
Agentix Corp.,0.0
AtheroNova Inc.,0.0
AIkido Pharma Inc.,0.0
AIM ImmunoTech Inc.,0.0
"Achaogen, Inc.",0.0
"Akebia Therapeutics, Inc.",-1.51386
"Akero Therapeutics, Inc.",0.0
"Akouos, Inc.",0.0
"Albireo Pharma, Inc.",0.0
"Aldeyra Therapeutics, Inc.",0.0
"Alector, Inc.",0.0
"Aligos Therapeutics, Inc.",0.0
Allakos Inc.,0.0
"Allogene Therapeutics, Inc.",0.0
"Allena Pharmaceuticals, Inc.",0.0
"Alnylam Pharmaceuticals, Inc.",-1.5349201
"Alpine Immune Sciences, Inc.",-2.9930398
"Aileron Therapeutics, Inc.",0.0
"Alseres Pharmaceuticals, Inc.",-1.6394099
"Altimmune, Inc.",0.0
"AlloVir, Inc.",0.0
"Alexion Pharmaceuticals, Inc.",0.10889
ALX Oncology Holdings Inc.,0.0
"Amarillo Biosciences, Inc.",0.0
"Amarantus BioScience Holdings, Inc.",0.0
American Hemp Ventures Inc.,0.0
"Ampio Pharmaceuticals, Inc.",0.0
Applied Molecular Transport Inc.,0.0
"AnaptysBio, Inc.",-0.41871
"Anebulo Pharmaceuticals, Inc.",0.0
Angion Biomedica Corp.,0.0
"Anika Therapeutics, Inc.",-0.20825
"Annexon, Inc.",0.0
"Anthera Pharmaceuticals, Inc.",0.0
"Antigenics, Inc.",0.0
"Annovis Bio, Inc.",0.0
"Apellis Pharmaceuticals, Inc.",-1.43513
"Applied Therapeutics, Inc.",0.0
"Aprea Therapeutics, Inc.",0.0
Aptinyx Inc.,0.0
Aptevo Therapeutics Inc.,0.0
"Aravive, Inc.",0.0
Arcturus Therapeutics Holdings Inc.,0.0
"Aridis Pharmaceuticals, Inc.",0.0
"Ardelyx, Inc.",0.0
Armata Pharmaceuticals Inc.,0.0
"Arena Pharmaceuticals, Inc.",0.0
"Arno Therapeutics, Inc.",0.0
"Aerpio Pharmaceuticals, Inc.",-0.32256
"Arcutis Biotherapeutics, Inc.",0.0
"Arch Therapeutics, Inc.",0.0
"Artelo Biosciences, Inc.",0.0
"Arvinas, Inc.",0.0
"Arrowhead Pharmaceuticals, Inc.",-1.22971
"Assembly Biosciences, Inc.",-0.83569
Avidus Management Group Inc.,-0.92257005
"Athira Pharma, Inc.",0.0
"Athersys, Inc.",0.0
Artemis Therapeutics Inc.,0.0
180 Life Sciences Corp.,0.0
"Actinium Pharmaceuticals, Inc.",0.0
"Atossa Therapeutics, Inc.",0.0
"Atara Biotherapeutics, Inc.",0.0
"Adhera Therapeutics, Inc.",0.0
"Avenue Therapeutics, Inc.",0.0
"Nuo Therapeutics, Inc.",-0.92764
"AVEO Pharmaceuticals, Inc.",0.0
"Atea Pharmaceuticals, Inc.",-0.22509001
"AVROBIO, Inc.",0.0
Anavex Life Sciences Corp.,0.0
"AVAX Technologies, Inc.",0.0
"AXIM Biotechnologies, Inc.",0.0
Axcella Health Inc.,0.0
"Axsome Therapeutics, Inc.",0.0
"Aytu Biopharma, Inc.",-0.74435997
"AzurRx BioPharma, Inc.",0.0
"Brickell Biotech, Inc.",0.0
"BridgeBio Pharma, Inc.",0.0
"BioAtla, Inc.",0.0
"BioCardia, Inc.",0.0
"Atreca, Inc.",0.0
Brainstorm Cell Therapeutics Inc.,0.0
"BioCryst Pharmaceuticals, Inc.",0.0
"Black Diamond Therapeutics, Inc.",0.0
Beam Therapeutics Inc.,0.0
Biohaven Pharmaceutical Holding Company Ltd.,0.0
"BioCube, Inc.",0.0
Bioasis Technologies Inc.,0.18319
BioVie Inc.,0.0
"Bellicum Pharmaceuticals, Inc.",0.0
"Berkeley Lights, Inc.",-0.70269996
"Bellerophon Therapeutics, Inc.",0.0
"bluebird bio, Inc.",-2.57336
"Biomea Fusion, Inc.",0.0
"Biomimix, Inc.",0.0
BioMarin Pharmaceutical Inc.,0.43108
Benitec Biopharma Inc.,0.0
"Bolt Biotherapeutics, Inc.",0.0
Blueprint Medicines Corporation,0.40181
"Organicell Regenerative Medicine, Inc.",0.0
"Bio-Path Holdings, Inc.",0.0
"BioRestorative Therapies, Inc.",0.0
"BioStem Technologies, Inc.",0.0
"Reve Technologies, Inc.",0.0
"Biostage, Inc.",0.0
"BioXcel Therapeutics, Inc.",0.0
"Boston Therapeutics, Inc.",0.0
"Brooklyn ImmunoTherapeutics, Inc.",0.0
"Baudax Bio, Inc.",0.0
BeyondSpring Inc.,0.0
"Burzynski Research Institute, Inc.",0.0
"Cabaletta Bio, Inc.",0.0
"Calithera Biosciences, Inc.",0.0
"Capricor Therapeutics, Inc.",0.0
Capstone Therapeutics Corp.,0.0
"Cara Therapeutics, Inc.",0.06226
"CASI Pharmaceuticals, Inc.",0.0
"Catabasis Pharmaceuticals, Inc.",0.0
"CymaBay Therapeutics, Inc.",0.0
Cerebain Biotech Corp.,0.0
"Apotheca Biosciences, Inc.",0.0
"Catalyst Biosciences, Inc.",0.0
"Cleveland BioLabs, Inc.",0.0
"C4 Therapeutics, Inc.",-2.23026
"ChemoCentryx, Inc.",-0.91542
"Codiak BioSciences, Inc.",0.0
"Avid Bioservices, Inc.",0.0551
"Cidara Therapeutics, Inc.",0.0
ChromaDex Corporation,-0.35916
"Cardax, Inc.",0.0
"Codexis, Inc.",-0.3511
"Creative Medical Technology Holdings, Inc.",0.0
Cerecor Inc.,0.0
"Cerevel Therapeutics Holdings, Inc.",0.0
"Certara, Inc.",-0.19538
ContraFect Corporation,0.0
"Cullinan Oncology, Inc.",-2.47564
"Chiasma, Inc.",0.0
"Coherus BioSciences, Inc.",-0.1723
"Checkpoint Therapeutics, Inc.",0.0
"Caladrius Biosciences, Inc.",0.0
"Cell Source, Inc.",0.0
"Celldex Therapeutics, Inc.",0.0
Clene Inc.,0.0
