long_name,beta
Apple Inc.,1.20729
Andrea Electronics Corporation,0.315016
"Advanced Powerline Technologies, Inc.",55.7753
"Aterian, Inc.",4.242303
"Beamz Interactive, Inc.",2.869423
"CTX Virtual Technologies, Inc.",-30.349293
"Exeo Entertainment, Inc.",0.017954
"GoPro, Inc.",1.229597
Hamilton Beach Brands Holding Company,1.096082
Turtle Beach Corporation,1.499455
Helo Corp.,1.073993
iRobot Corporation,1.257889
Koss Corporation,-2.559303
LOUD Technologies Inc.,1.304134
Emerson Radio Corp.,0.31828
Nyxio Technologies Corporation,1.291304
Rockford Corporation,0.244021
"The Singing Machine Company, Inc.",1.144021
"Sonos, Inc.",1.918893
SQL Technologies Corp.,-0.236335
"Trutankless, Inc.",-0.744622
Universal Electronics Inc.,1.232608
VOXX International Corporation,1.4125
Vuzix Corporation,2.429891
"Zevotek, Inc.",3.712079
