long_name,enterpriseToRevenue
Apple Inc.,7.505
Andrea Electronics Corporation,3.27
"Advanced Powerline Technologies, Inc.",13.193
"Aterian, Inc.",1.901
"Beamz Interactive, Inc.",13.114
"CTX Virtual Technologies, Inc.",0.003
"Exeo Entertainment, Inc.",587.08
"GoPro, Inc.",1.618
Hamilton Beach Brands Holding Company,0.604
Turtle Beach Corporation,0.975
Helo Corp.,5.565
iRobot Corporation,1.345
Koss Corporation,8.52
LOUD Technologies Inc.,0.456
Emerson Radio Corp.,-0.06
Nyxio Technologies Corporation,54.297
Rockford Corporation,1.22
"The Singing Machine Company, Inc.",0.356
"Sonos, Inc.",2.912
SQL Technologies Corp.,35.478
"Trutankless, Inc.",7.473
Universal Electronics Inc.,1.096
VOXX International Corporation,0.43
Vuzix Corporation,70.002
VIZIO Holding Corp.,1.9
"Zevotek, Inc.",204.467
