long_name,beta
"ACI Worldwide, Inc.",1.15
Adobe Inc.,0.947826
"Akamai Technologies, Inc.",0.411956
Altair Engineering Inc.,1.500592
AppTech Corp.,-0.152717
Appian Corporation,1.713324
"Data443 Risk Mitigation, Inc.",-4.752717
"A10 Networks, Inc.",0.90326
"Areti Web Innovations, Inc.",-1.13913
Bandwidth Inc.,0.455586
"Black Knight, Inc.",0.728519
"BlackLine, Inc.",0.894817
"BLGI, Inc.",1.083152
"Bridgeline Digital, Inc.",2.922826
"Box, Inc.",1.414055
"BlackRidge Technology International, Inc.",5.356754
"Cemtrex, Inc.",2.13155
"Cemtrex, Inc.",2.140217
Coro Global Inc.,3.942391
Cipherloc Corporation,-0.517934
"ComF5 International, Inc.",-0.256256
"CrowdStrike Holdings, Inc.",1.226736
"CSG Systems International, Inc.",0.900543
"Cyberfort Software, Inc.",-0.740106
"Dropbox, Inc.",0.89306
"Data Call Technologies, Inc.",0.384782
"Democrasoft Holdings, Inc.",-2.779347
"Digiliti Money Group, Inc.",621.5625
Amdocs Limited,0.784782
"Euronet Worldwide, Inc.",1.67733
"Bottomline Technologies (de), Inc.",1.302717
"EVO Payments, Inc.",1.750539
"EVERTEC, Inc.",0.998369
"FireEye, Inc.",1.145063
"F5 Networks, Inc.",1.05163
Fansfrenzy Corporation,1.377173
"Five9, Inc.",0.475543
"Fortinet, Inc.",1.105434
Gawk Incorporated,1.442934
GreenBox POS,5.680525
GoDaddy Inc.,0.979347
"General Payment Systems, Inc.",2.695108
"GreenSky, Inc.",1.683225
Ipsidy Inc.,2.830481
"Immediatek, Inc.",3.981283
"InternetArray, Inc.",-116.25489
"1mage Software, Inc.",-0.8125
"Internet Infinity, Inc.",-2.829891
"J2 Global, Inc.",1.06576
"Ladybug Resource Group, Inc.",-1.630978
"Limelight Networks, Inc.",0.516304
Liberated Syndication Inc.,0.679854
"MongoDB, Inc.",0.722872
"MoneyOnMobile, Inc.",4.707065
Microsoft Corporation,0.787812
"Net Element, Inc.",2.06576
"New Relic, Inc.",0.861413
NortonLifeLock Inc.,1.046195
"NetScout Systems, Inc.",0.810326
Notify Technology Corp.,2.022826
"Nutanix, Inc.",1.870901
"Okta, Inc.",0.965201
Oracle Corporation,0.782065
OneSpan Inc.,0.585326
"Palo Alto Networks, Inc.",1.397282
"Proofpoint, Inc.",1.114175
"Anaplan, Inc.",1.983159
"Qualys, Inc.",0.632653
"Rekor Systems, Inc.",1.825811
"SailPoint Technologies Holdings, Inc.",1.874457
SecureWorks Corp.,1.107065
"StrikeForce Technologies, Inc.",4.632085
Smart Card Marketing Systems Inc.,1.973913
"SmartMetric, Inc.",-0.138586
"Synopsys, Inc.",1.034239
Splunk Inc.,1.238043
"SPS Commerce, Inc.",0.878804
"Square, Inc.",2.416304
Splitit Payments Ltd,2.122528
SolarWinds Corporation,0.99861
"Tenable Holdings, Inc.",1.69699
"Telpac Industries, Inc.",14.344565
"Veritone, Inc.",3.214894
VirnetX Holding Corp,0.513043
"Visium Technologies, Inc.",1.123913
"VMware, Inc.",0.969111
"Varonis Systems, Inc.",1.134782
Verint Systems Inc.,0.820108
"VeriSign, Inc.",0.814673
WEX Inc.,1.958695
"WMD Holdings Group, Inc.",133.6542
"mPhase Technologies, Inc.",17.861956
"Yext, Inc.",1.410256
Zix Corporation,1.133152
"Zscaler, Inc.",0.797497
"Zuora, Inc.",2.15565
"zvelo, Inc.",-999.031
