long_name,priceToBook
"ACI Worldwide, Inc.",3.5190847
Adobe Inc.,21.005554
"Akamai Technologies, Inc.",4.498622
Altair Engineering Inc.,13.097763
Appian Corporation,29.563864
"A10 Networks, Inc.",6.7037725
Bandwidth Inc.,7.5927925
"Black Knight, Inc.",4.7251444
"BlackLine, Inc.",19.33527
"Bridgeline Digital, Inc.",5.49
"Box, Inc.",170.79137
"Cemtrex, Inc.",0.75385493
"Cemtrex, Inc.",1.443131
Cipherloc Corporation,3.3545454
"CrowdStrike Holdings, Inc.",67.04944
"CSG Systems International, Inc.",3.4043503
"Democrasoft Holdings, Inc.",0.5555556
"Digiliti Money Group, Inc.",0.005385997
Amdocs Limited,2.7587306
"Euronet Worldwide, Inc.",4.855878
"Bottomline Technologies (de), Inc.",3.8037949
"EVERTEC, Inc.",8.474131
"FireEye, Inc.",6.790205
"F5 Networks, Inc.",5.58337
"Five9, Inc.",88.23803
"Fortinet, Inc.",43.9294
"General Payment Systems, Inc.",0.017174037
Ipsidy Inc.,33.75
"J2 Global, Inc.",4.903165
"Limelight Networks, Inc.",2.425876
Liberated Syndication Inc.,3.3557048
Microsoft Corporation,15.64555
"Cloudflare, Inc.",44.532673
"Net Element, Inc.",11.615541
"New Relic, Inc.",10.357307
"NetScout Systems, Inc.",1.0475806
"Okta, Inc.",47.833008
Oracle Corporation,47.641056
OneSpan Inc.,3.9559543
"Palo Alto Networks, Inc.",39.16683
"Proofpoint, Inc.",34.326714
Ping Identity Holding Corp.,2.5952191
"Anaplan, Inc.",30.198238
"Qualys, Inc.",9.911693
"Rekor Systems, Inc.",3.420398
Repay Holdings Corporation,3.364512
"SailPoint Technologies Holdings, Inc.",11.335967
SecureWorks Corp.,2.8033366
"Synopsys, Inc.",8.331784
Splunk Inc.,18.13363
"SPS Commerce, Inc.",8.06252
"Square, Inc.",48.422394
Splitit Payments Ltd,3.6085715
SolarWinds Corporation,1.0904425
"Tenable Holdings, Inc.",25.834356
"Telpac Industries, Inc.",0.18888889
"Veritone, Inc.",6.4599857
VirnetX Holding Corp,1.4219364
"VMware, Inc.",7.194941
"Varonis Systems, Inc.",10.970464
Verint Systems Inc.,2.967819
WEX Inc.,4.5479183
"WMD Holdings Group, Inc.",0.36363637
"mPhase Technologies, Inc.",2.9932017
"Yext, Inc.",7.1974883
Zix Corporation,13.166666
"Zscaler, Inc.",61.721447
"Zuora, Inc.",11.582277
