long_name,profitMargins
"ACI Worldwide, Inc.",0.07387
Adobe Inc.,0.38794
"Akamai Technologies, Inc.",0.17995001
Altair Engineering Inc.,-0.0044400003
AppTech Corp.,0.0
Appian Corporation,-0.11252
"Data443 Risk Mitigation, Inc.",-2.08228
"A10 Networks, Inc.",0.09166
"Areti Web Innovations, Inc.",-0.36448002
Bandwidth Inc.,-0.12429
"Black Knight, Inc.",0.20663
"BlackLine, Inc.",-0.19846001
"BLGI, Inc.",0.0
"Bridgeline Digital, Inc.",-0.21282
"Box, Inc.",-0.19759001
"BlackRidge Technology International, Inc.",0.0
"Cemtrex, Inc.",-0.22827
"Cemtrex, Inc.",-0.2883
Coro Global Inc.,0.0
Cerberus Cyber Sentinel Corporation,-0.49826
Cipherloc Corporation,0.0
"Cyberloq Technologies, Inc.",0.0
"ComF5 International, Inc.",-0.97796994
"CrowdStrike Holdings, Inc.",-0.15858
"CSG Systems International, Inc.",0.056939997
"Cyberfort Software, Inc.",0.0
"Dropbox, Inc.",-0.12586
"Data Call Technologies, Inc.",-0.04378
"Democrasoft Holdings, Inc.",-2.80795
"Digiliti Money Group, Inc.",-1.4772501
"DigitalOcean Holdings, Inc.",-0.08835
Amdocs Limited,0.15983
"Euronet Worldwide, Inc.",-0.0054900004
"Bottomline Technologies (de), Inc.",-0.026080001
"E2open Parent Holdings, Inc.",-0.11251
"EVO Payments, Inc.",0.00527
"EVERTEC, Inc.",0.2229
"FireEye, Inc.",-0.18877001
"F5 Networks, Inc.",0.11283
Fansfrenzy Corporation,0.0
"Five9, Inc.",-0.09844
"Shift4 Payments, Inc.",-0.06346
"Fortinet, Inc.",0.18009001
Gawk Incorporated,-2.53475
GreenBox POS,-0.58737
GoDaddy Inc.,-0.15389
"General Payment Systems, Inc.",0.95335
"GreenSky, Inc.",0.03232
Ipsidy Inc.,0.0
"Immediatek, Inc.",-0.32333001
"InternetArray, Inc.",-0.14363
"1mage Software, Inc.",-0.54006
"Internet Infinity, Inc.",-0.77415
"J2 Global, Inc.",0.15108
"KnowBe4, Inc.",0.00598
"Ladybug Resource Group, Inc.",0.0
"Limelight Networks, Inc.",-0.17626
Liberated Syndication Inc.,-0.01197
"MongoDB, Inc.",-0.43162
"MoneyOnMobile, Inc.",-1.9172701
Microsoft Corporation,0.35016
"Cloudflare, Inc.",-0.2649
"Net Element, Inc.",-0.05799
"New Relic, Inc.",-0.28849
NortonLifeLock Inc.,0.21716999
"NetScout Systems, Inc.",0.02328
Notify Technology Corp.,-0.12738
"Nutanix, Inc.",-0.64695
"Okta, Inc.",-0.35182998
Oracle Corporation,0.33958
OneSpan Inc.,-0.06954
"Palo Alto Networks, Inc.",-0.10998
UiPath Inc.,-0.41015998
Paya Holdings Inc.,0.00564
"Proofpoint, Inc.",-0.13077
Ping Identity Holding Corp.,-0.093710005
"Anaplan, Inc.",-0.35009998
Palantir Technologies Inc.,-1.02574
"Qualys, Inc.",0.25229
"Rekor Systems, Inc.",-1.3327699
Repay Holdings Corporation,-0.24669
"Rackspace Technology, Inc.",-0.09409001
"SailPoint Technologies Holdings, Inc.",-0.04634
SecureWorks Corp.,-0.03711
"StrikeForce Technologies, Inc.",0.0
Smart Card Marketing Systems Inc.,0.0
"SmartMetric, Inc.",0.0
"Synopsys, Inc.",0.20275
Splunk Inc.,-0.46723
"SPS Commerce, Inc.",0.14084
"Square, Inc.",0.02718
"Squarespace, Inc.",0.059609998
"Stem, Inc.",0.0
Splitit Payments Ltd,0.0
"Sumo Logic, Inc.",-0.39897
SolarWinds Corporation,0.14661999
"Tenable Holdings, Inc.",-0.05969
Tego Cyber Inc.,0.0
"Telpac Industries, Inc.",0.3704
"Veritone, Inc.",-1.0259
VirnetX Holding Corp,0.0
"Visium Technologies, Inc.",0.0
"VMware, Inc.",0.17489
"Varonis Systems, Inc.",-0.31355
Verint Systems Inc.,-0.00035
"VeriSign, Inc.",0.49456
VirtualArmour International Inc.,-0.13474
WEX Inc.,-0.13509
"WMD Holdings Group, Inc.",-0.06131
"mPhase Technologies, Inc.",0.0924
"Yext, Inc.",-0.23
Zix Corporation,-0.03553
"Zscaler, Inc.",-0.38304
"Zuora, Inc.",-0.23958
"zvelo, Inc.",-0.62450004
